timestamp,candle_time,equity,action,trade_type,lots,price,comment
2025-12-31 19:30:02,2025-12-31 19:30:00,98892.40,-0.1091,SIGNAL,0,0,
2025-12-31 19:35:03,2025-12-31 19:35:00,99836.86,-1.0000,SIGNAL,0,0,
2025-12-31 19:40:03,2025-12-31 19:40:00,99289.39,-0.2241,SIGNAL,0,0,
2025-12-31 19:45:02,2025-12-31 19:45:00,99596.29,-1.0000,SIGNAL,0,0,
2025-12-31 19:50:02,2025-12-31 19:50:00,100033.87,-0.5267,SIGNAL,0,0,
2025-12-31 19:55:03,2025-12-31 19:55:00,99994.27,-0.4243,SIGNAL,0,0,
2025-12-31 20:00:02,2025-12-31 20:00:00,99612.13,-0.9427,SIGNAL,0,0,
2025-12-31 20:05:02,2025-12-31 20:05:00,99634.90,-1.0000,SIGNAL,0,0,
2025-12-31 20:10:02,2025-12-31 20:10:00,100037.83,-0.2819,SIGNAL,0,0,
2025-12-31 20:15:02,2025-12-31 20:15:00,99934.87,-0.8524,SIGNAL,0,0,
2025-12-31 20:20:02,2025-12-31 20:20:00,100019.02,-1.0000,SIGNAL,0,0,
2025-12-31 20:25:02,2025-12-31 20:25:00,99840.82,-1.0000,SIGNAL,0,0,
2025-12-31 20:30:02,2025-12-31 20:30:00,99950.71,-0.8227,SIGNAL,0,0,
2025-12-31 20:35:02,2025-12-31 20:35:00,100375.42,0.1514,SIGNAL,0,0,
2025-12-31 20:40:03,2025-12-31 20:40:00,100620.94,1.0000,SIGNAL,0,0,
2025-12-31 20:40:03,2025-12-31 20:40:00,100623.91,1.0000,CLOSE,0.99,4311.39,Pos: 54517491206
2025-12-31 20:40:03,2025-12-31 20:40:00,100603.91,1.0000,BUY,1.0,4311.37,SL: 4289.81 TP: 4376.04
2025-12-31 20:45:02,2025-12-31 20:45:00,100523.91,0.1918,SIGNAL,0,0,
2025-12-31 20:50:02,2025-12-31 20:50:00,100475.91,0.3770,SIGNAL,0,0,
2025-12-31 20:55:02,2025-12-31 20:55:00,100629.91,0.1281,SIGNAL,0,0,
2025-12-31 21:00:02,2025-12-31 21:00:00,100599.91,0.2619,SIGNAL,0,0,
2025-12-31 21:05:03,2025-12-31 21:05:00,100220.91,0.5986,SIGNAL,0,0,
2025-12-31 21:10:02,2025-12-31 21:10:00,100288.91,1.0000,SIGNAL,0,0,
2025-12-31 21:15:02,2025-12-31 21:15:00,101006.91,1.0000,SIGNAL,0,0,
2025-12-31 21:20:02,2025-12-31 21:20:00,101331.91,0.5072,SIGNAL,0,0,
2025-12-31 21:25:02,2025-12-31 21:25:00,101017.91,-0.0754,SIGNAL,0,0,
2025-12-31 21:25:03,2025-12-31 21:25:00,101005.91,-0.0754,CLOSE,1.0,4315.25,Pos: 54518979176
2025-12-31 21:30:02,2025-12-31 21:30:00,101005.91,-0.7737,SIGNAL,0,0,
2025-12-31 21:30:03,2025-12-31 21:30:00,100990.31,0.7737,SELL,0.78,4314.97,SL: 4336.54 TP: 4250.25
2025-12-31 21:35:02,2025-12-31 21:35:00,100509.83,-1.0000,SIGNAL,0,0,
2025-12-31 21:40:02,2025-12-31 21:40:00,100809.35,-1.0000,SIGNAL,0,0,
