timestamp,candle_time,equity,pos_act,mult_act,trade_type,lots,price,comment
2026-01-05 05:51:24,2026-01-05 06:50:00,101745.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:51:34,2026-01-05 06:50:00,101741.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:51:44,2026-01-05 06:50:00,101744.86,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:51:54,2026-01-05 06:50:00,101745.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:04,2026-01-05 06:50:00,101748.96,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:15,2026-01-05 06:50:00,101761.96,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:25,2026-01-05 06:50:00,101764.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:35,2026-01-05 06:50:00,101771.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:45,2026-01-05 06:50:00,101769.56,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:52:55,2026-01-05 06:50:00,101772.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:05,2026-01-05 06:50:00,101773.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:15,2026-01-05 06:50:00,101770.36,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:26,2026-01-05 06:50:00,101771.16,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:36,2026-01-05 06:50:00,101770.06,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:46,2026-01-05 06:50:00,101769.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:53:56,2026-01-05 06:50:00,101771.66,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:54:06,2026-01-05 06:50:00,101769.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:54:16,2026-01-05 06:50:00,101769.46,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:54:26,2026-01-05 06:50:00,101769.26,-1.0000,0.5000,SIGNAL,0,0,
2026-01-05 05:54:37,2026-01-05 06:50:00,101773.96,-1.0000,0.5000,SIGNAL,0,0,
