Pulse V5 Active. Equity: $101,644.71 | Mode: 0
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:235: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:305: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Sniper Pulse Brain Synchronized.
[12:14:58] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:00] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:02] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:04] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:06] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.00%
[12:15:08] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:10] Pulse Conviction: +0.8757 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:12] Pulse Conviction: +0.8200 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:14] Pulse Conviction: +0.3768 | ATR Mult: 0.50 | PnL: -0.02%
[12:15:16] Pulse Conviction: -0.4482 | ATR Mult: 0.50 | PnL: -0.02%
Positions Closed: SniperV5_Reverse
Order Executed: XAUUSD SELL at 4432.65
[12:15:19] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.00%
[12:15:21] Pulse Conviction: -0.8362 | ATR Mult: 0.50 | PnL: +0.00%
[12:15:23] Pulse Conviction: -0.5967 | ATR Mult: 0.50 | PnL: +0.00%
[12:15:25] Pulse Conviction: +0.0127 | ATR Mult: 0.50 | PnL: -0.00%
Positions Closed: SniperV5_Neutral
[12:15:27] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: +0.00%
Order Executed: XAUUSD BUY at 4432.96
[12:15:29] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:32] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.02%
[12:15:34] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.02%
[12:15:36] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.02%
[12:15:38] Pulse Conviction: +0.2763 | ATR Mult: 0.50 | PnL: +0.00%
Order Executed: XAUUSD BUY at 4432.09
[12:15:40] Pulse Conviction: +0.6049 | ATR Mult: 0.50 | PnL: -0.01%
[12:15:42] Pulse Conviction: -0.0383 | ATR Mult: 0.50 | PnL: -0.02%
Positions Closed: SniperV5_Neutral
[12:15:44] Pulse Conviction: -0.9521 | ATR Mult: 0.50 | PnL: +0.00%
Order Executed: XAUUSD SELL at 4431.41
[12:15:47] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.00%
[12:15:49] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.00%
[12:15:51] Pulse Conviction: -1.0000 | ATR Mult: 0.68 | PnL: +0.02%
[12:15:53] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:15:55] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:15:57] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:15:59] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
